	11601MD	11601MDx6631	13150	13150x6631	13150xJCC	14229-5	6067	6461	6461x13150exp137	6461x13150	6461x14229-5	6461x6067	6631	GCA_004945185	GCA_004947465	GCA_004947585	GCA_005266575	JCC	SampleA	SampleB	SampleC	SampleE	SampleF	SampleG	SampleH	SampleI	SampleJ
11601MD	1.0	0.9998312953777727	0.8885300835304284	0.8888958170027792	0.8884719821064511	0.9931156174110867	0.8848415191641239	0.8707235548564687	0.8884702024117315	0.8878026485751469	0.8712465516724057	0.8710429238713528	0.9804042687901187	0.8788101448146994	0.8799990114425524	0.9853559212847217	0.9854927560578516	0.9848585179871716	0.8712500816302757	0.8711477128520471	0.8710081729408434	0.8711702386966182	0.8711536659825597	0.8718662682225521	0.8711680101097994	0.8713827274435808	0.8712377267777309
11601MDx6631	0.9998312953777727	1.0	0.8885376571617736	0.8889568202301874	0.8884844226878226	0.9932138756521688	0.8847030391379704	0.8707391055985334	0.8884794033272235	0.8878102145418447	0.8712620267719495	0.8710584183335541	0.9808359851823093	0.8787576503670386	0.8800352931871955	0.9853339223784522	0.985452626583069	0.9848453661297792	0.8712655565958731	0.8711631917020899	0.8710236926666566	0.8711857282010387	0.8711691686294959	0.8718817209520288	0.8711834881896504	0.8713981947961426	0.8712532022121406
13150	0.8885300835304284	0.8885376571617736	1.0	0.9998141178346918	0.9999590526465172	0.8859077600960454	0.9916612227644775	0.9683702802929808	0.999458566902335	0.9982607220839436	0.9684773697089877	0.9685483709248054	0.8851935510312384	0.9712834795604578	0.9713627688695752	0.8858398089188124	0.8897734835227132	0.8883481885083266	0.9684773697089877	0.968461085094003	0.9684677571961537	0.96848551201648	0.968469508065123	0.9680975184806295	0.9684767433776421	0.9684309013305296	0.9684717327268776
13150x6631	0.8888958170027792	0.8889568202301874	0.9998141178346918	1.0	0.9997804256485305	0.8862840240619495	0.9915063210801933	0.9683096487912677	0.9992781900489089	0.9980832851671348	0.9684158088472877	0.9684881545743305	0.885677294197031	0.9711530292222657	0.9712735803923469	0.886031013669388	0.8899531853562941	0.8888763527760268	0.9684158088472877	0.968400751129172	0.9684074090347039	0.9684252199211101	0.9684091097558217	0.9680366983274041	0.9684164362522093	0.968361824111747	0.9684114170128373
13150xJCC	0.8884719821064511	0.8884844226878226	0.9999590526465172	0.9997804256485305	1.0	0.8858815118027921	0.9916710071869403	0.9683814894592405	0.9994265894189477	0.9982320913606663	0.9684885848181841	0.9685589864556098	0.8852143152315464	0.9712977110415761	0.9714230934613015	0.885805547307934	0.8897006794111386	0.8884698059999624	0.9684885848181841	0.9684722953161417	0.9684789741783316	0.9684967295692053	0.9684807354390508	0.9681085946827862	0.9684879582988748	0.9684333454120112	0.9684829461444002
14229-5	0.9931156174110867	0.9932138756521688	0.8859077600960454	0.8862840240619495	0.8858815118027921	1.0	0.8846440528183745	0.8717597216050822	0.8859039169847011	0.8852857277981611	0.8728292740889854	0.8720486430996814	0.9817252354710184	0.8772741738494376	0.8779340776497764	0.9852397530514404	0.9849942974862703	0.9856678886970459	0.8728161684787357	0.8727375348172379	0.8726056858071809	0.8727829675994366	0.8726934135553213	0.8737975069365782	0.8727585037936373	0.8732797699283734	0.8728537378947847
6067	0.8848415191641239	0.8847030391379704	0.9916612227644775	0.9915063210801933	0.9916710071869403	0.8846440528183745	1.0	0.9674136941063811	0.9916302512677636	0.9902103600712499	0.9674143780234773	0.9676448694818385	0.8807821135047876	0.9705690942090528	0.9714687149101987	0.8858285386813671	0.8855082180335596	0.8847503199610697	0.9674137475577334	0.9674110571496671	0.9674261368080807	0.967426821009568	0.9674172220549271	0.9671385517880902	0.967427451563964	0.9674245957221543	0.9674017687085981
6461	0.8707235548564687	0.8707391055985334	0.9683702802929808	0.9683096487912677	0.9683814894592405	0.8717597216050822	0.9674136941063811	1.0	0.9690049144602481	0.9703961402364043	0.9998714609701994	0.9997438999229488	0.8674191396218138	0.9859849234478167	0.9855809388051117	0.8722113520261356	0.8742225401438615	0.8729783037475345	0.9998604275770834	0.9999122845247284	0.9999177902459506	0.9998830460329711	0.9998214270813341	0.9991696813854768	0.999899596122645	0.9995253881469552	0.9998394641301631
6461x13150exp137	0.8884702024117315	0.8884794033272235	0.999458566902335	0.9992781900489089	0.9994265894189477	0.8859039169847011	0.9916302512677636	0.9690049144602481	1.0	0.9979708792538405	0.9690740955309695	0.9691648368726062	0.8850866189552606	0.9712435355118126	0.9713721116566466	0.8859389007070886	0.88962640300537	0.8882130354158858	0.9690928848123107	0.9690778533872377	0.9690111518761123	0.9691022794529814	0.9690133798450293	0.9686625377104029	0.9690935111216887	0.9689598895039375	0.9690885006466644
6461x13150	0.8878026485751469	0.8878102145418447	0.9982607220839436	0.9980832851671348	0.9982320913606663	0.8852857277981611	0.9902103600712499	0.9703961402364043	0.9979708792538405	1.0	0.9704619233776388	0.9705338809677434	0.8844280033418003	0.9721882521224193	0.9724341805740429	0.8855163627005522	0.889122594427026	0.8873174481168332	0.9704619233776388	0.9704469116497263	0.970454416037315	0.970471305707584	0.9704579089868859	0.9700793839010448	0.9704625488663018	0.9704058827094503	0.9704575449569977
6461x14229-5	0.8712465516724057	0.8712620267719495	0.9684773697089877	0.9684158088472877	0.9684885848181841	0.8728292740889854	0.9674143780234773	0.9998714609701994	0.9690740955309695	0.9704619233776388	1.0	0.9996404624648345	0.8678376844029441	0.985972399103306	0.9856262615730697	0.8722771970645351	0.8742186546447037	0.8733024103851939	0.9999834936194586	0.9998690493089875	0.9998393164123978	0.9998222812050545	0.9999056805811851	0.9991185185943037	0.9998530932131816	0.9995701249499809	0.9999416774554204
6461x6067	0.8710429238713528	0.8710584183335541	0.9685483709248054	0.9684881545743305	0.9685589864556098	0.8720486430996814	0.9676448694818385	0.9997438999229488	0.9691648368726062	0.9705338809677434	0.9996404624648345	1.0	0.8677604013843605	0.9857736992110931	0.9853810779400922	0.872156787058711	0.8742118485328974	0.8731606842630435	0.9996570591606135	0.9997090535778389	0.9996879928703052	0.9996808439437511	0.9995894689870594	0.9989634731174182	0.9996974378461557	0.9993210570262298	0.9996349341470983
6631	0.9804042687901187	0.9808359851823093	0.8851935510312384	0.885677294197031	0.8852143152315464	0.9817252354710184	0.8807821135047876	0.8674191396218138	0.8850866189552606	0.8844280033418003	0.8678376844029441	0.8677604013843605	1.0	0.8766174357390347	0.8759958324005028	0.9798262552627651	0.979991966389109	0.9795428580718948	0.8675756778674492	0.8675702168829975	0.8674989095366146	0.867604803117858	0.8675244068015775	0.8671375727000593	0.8675893303285783	0.8675447560101968	0.8675738575392986
